"Loc_code","Name","Province","Latitude","Longitude","counts","FirstCount","LatestCount","boundary_polygon"
"34081959","Loch Lotus Dams","Western Cape","-34.1399","19.97","12","0000-00-00","2016-08-08","19.993740234621,-34.14055603909701,0 19.99373583914208,-34.14074918256759,0 19.99381684070831,-34.14111887132678,0 19.99396729679827,-34.14100058179399,0 19.99419899769359,-34.14088208403243,0 19.99448666497223,-34.14082260312443,0 19.99475508531167,-34.14076325690483,0 19.99497868959878,-34.1407113423309,0 19.99538157564018,-34.14071113761253,0 19.99568481013415,-34.1406370021039,0 19.99602426997708,-34.14057017399468,0 19.99634608580696,-34.14048102409134,0 19.9966504104932,-34.14038432623229,0 19.99689240613715,-34.140324700306,0 19.99712577043991,-34.14030951385922,0 19.99730534703515,-34.14036879286586,0 19.99755687895818,-34.14044289045492,0 19.99780840565991,-34.14054676814751,0 19.99801467671237,-34.14069526251344,0 19.99827528541761,-34.14091058753452,0 19.99844499952431,-34.14105144055554,0 19.99863141969779,-34.14127339776774,0 19.99880021017824,-34.14146550948684,0 19.99887978271684,-34.14167982014789,0 19.99897859719563,-34.14193171269643,0 19.99900574899918,-34.14213180401376,0 19.99957419288431,-34.14211271488982,0 19.99955622200618,-34.14195056978766,0 19.99943486819808,-34.14164883951365,0 19.99925591645797,-34.14137759840448,0 19.999098551641,-34.14121553276099,0 19.99891363604829,-34.14098359023971,0 19.99880277466044,-34.14081315005518,0 19.99876626194953,-34.14067345756606,0 19.99842895723371,-34.1404094581275,0 19.9982773404861,-34.14027848502269,0 19.99811652863778,-34.14011439784419,0 19.99791936614203,-34.13989042951378,0 19.99774476347095,-34.13977128364839,0 19.9971712509296,-34.13950639391933,0 19.9969466008356,-34.13949497382762,0 19.99664432713283,-34.13948206081292,0 19.99619195728502,-34.13945036361567,0 19.99564593910391,-34.13950567466099,0 19.99524286953452,-34.13956958286941,0 19.99492363227246,-34.13966345013564,0 19.99458649921547,-34.13975756878448,0 19.9943378589837,-34.13979622909002,0 19.99402898483504,-34.1398624766849,0 19.99381911734432,-34.13994388019913,0 19.99368714659748,-34.14023531733463,0 19.993740234621,-34.14055603909701,0"
"34051844","Lourens River Estuary","Western Cape","-34.1006","18.81345","73","2001-01-31","2009-12-06",NA
"34032221","Maalgate River Mouth","Western Cape","-34.05243","22.35435","1","2005-07-04","2005-07-04",NA
"34041845","Macassar Waste Water Treatment Works","Western Cape","-34.07731","18.76712","35","2002-07-06","2020-02-20",NA
"32581753","Mauritz Bay Tern Roost","Western Cape","-32.9648","17.8859","37","2003-06-13","2009-06-20",NA
"34011844","Meerlust Dam","Western Cape","-34.018065","18.748344","7","2009-07-20","2013-03-02","18.74620453381945,-34.01851194031873,0 18.7465299985955,-34.01922452719591,0 18.74643253416585,-34.01999251869795,0 18.74667969169661,-34.02084255872003,0 18.75387615462668,-34.01739296698185,0 18.75370381690377,-34.0170952734309,0 18.752758935659,-34.01669528010221,0 18.75212820660927,-34.01653373172483,0 18.75123217922855,-34.01655551987952,0 18.7506507424232,-34.01659004309988,0 18.74973857282293,-34.01639437716069,0 18.74907445577243,-34.01608561156693,0 18.74861858723989,-34.01586943414121,0 18.74861955717003,-34.01510799079808,0 18.74780547729508,-34.01485372394286,0 18.74751387622862,-34.01505621873887,0 18.74701444950135,-34.01516793669207,0 18.74641796063713,-34.0153266411343,0 18.74600402177388,-34.0157632232745,0 18.74555414247828,-34.01609841306922,0 18.7462594649644,-34.01787185421259,0 18.74620453381945,-34.01851194031873,0"
"33441828","Melkbos Pan","Western Cape","-33.73415","18.45391","40","2005-01-19","2019-05-24"," 18.453331500688136,-33.73452241798243,0 18.453915459878544,-33.735026750075264,0 18.45435678534318,-33.735178004524705,0 18.454586674717347,-33.735075187036855,0 18.454608385138044,-33.734814283254735,0 18.454909904441365,-33.734584428130425,0 18.454970522627036,-33.734100138676574,0 18.454639322200592,-33.73358479668744,0 18.454535907996387,-33.73332096059689,0 18.45390999999995,-33.73329,0 18.453079694565303,-33.733440729785705,0 18.453084361255378,-33.73406687335538,0 18.453133258691878,-33.734356656011535,0"
"33401953","Memel Farm Dam 1","Western Cape","-33.673","19.558","1","2012-03-10","2012-03-10",NA
"34041835","Mitchells Plain Waste Water Treatment Works: North","Western Cape","-34.065246","18.59066","20","2013-07-10","2019-08-26",NA
"34041836","Mitchells Plain Waste Water Treatment Works: South","Western Cape","-34.071193","18.595872","22","2013-07-10","2021-01-28",NA
"34072206","Mossel Bay Sewage Works","Western Cape","-34.11114","22.10044","28","1994-07-17","2016-01-16",NA
"33291818","Mud River Mouth","Western Cape","-33.48076","18.30684","26","1998-02-22","2012-01-22",NA
"33591846","Nagenoeg Dam","Western Cape","-33.983757","18.777701","6","2009-07-20","2013-03-02","18.77797386525759,-33.98460336603232,0 18.77884265937775,-33.98360007343117,0 18.77750654609768,-33.98299668466815,0 18.77740248732536,-33.98302716154308,0 18.77673589343056,-33.98394905405196,0 18.77797386525759,-33.98460336603232,0"
"33592332","Nature's Valley (Groot River Estuary)","Western Cape","-34","23.53448","58","1998-01-26","2019-08-23",NA
"33401858","Noord Agter Paarl Irrigation Dam","Western Cape","-33.66778","18.9637","31","1998-02-14","2016-07-31",NA
"32572158","Noordhoek Dam","Western Cape","-32.87436","21.97627","13","2001-02-14","2007-07-22",NA
"34371948","Nuwejaars River Wetland - Moddervlei","Western Cape","-34.617","19.811","6","2018-03-27","2020-12-10","19.811,-34.617,0 19.81186,-34.617,0 19.81186,-34.61614,0 19.811,-34.61614,0"
"31391811","Olifants River Mouth Island","Western Cape","-31.6966","18.19004","15","2013-07-24","2021-02-02"," 18.18864053256266,-31.69912136083903,0 18.189326906240694,-31.699569878693964,0 18.190050186486132,-31.699542265355632,0 18.190978924204046,-31.69883997977655,0 18.191254489020593,-31.6974550646384,0 18.191003001802983,-31.696310748307333,0 18.190359485116005,-31.69570628762029,0 18.189312804416204,-31.695681824891206,0 18.188337713718738,-31.696448335655667,0 18.188239597976007,-31.69806433345054,0"
"31411811","Olifants River Mouth North Bank","Western Cape","-31.691","18.19","3","2016-01-30","2017-01-28","18.190,-31.691,0 18.19086,-31.691,0 18.19086,-31.69014,0 18.190,-31.69014,0"
