"10",NA,NA,4940,NA,631,1717,6,NA,75,NA,NA,NA,NA,NA,NA,2,NA,3,45,1,4,1,1,1,NA,NA,NA,NA,267,206,NA,11,144,134,NA,2,34,NA,NA,NA,138,8,NA,9,1,5,41,NA,2,4,NA,NA,25,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,52,4,NA,NA,NA,1,6,7,43,7,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-07-15,"W"
"11",1,1,10921,NA,597,1490,NA,NA,389,NA,NA,NA,NA,7,NA,NA,NA,82,694,55,82,31,5,3,208,18,NA,3,323,414,NA,NA,105,91,18,1,170,2,NA,16,12,16,NA,20,4,56,50,37,3,1,NA,6,188,NA,71,NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,1,6,7,NA,8,NA,NA,105,NA,NA,5,71,NA,10,NA,45,13,16,1,17,83,92,NA,12,NA,NA,9,77,105,NA,205,301,NA,NA,NA,1,NA,NA,NA,NA,2001-01-27,"S"
"12",NA,1,13648,NA,117,362,7,NA,38,3,NA,NA,1,3,NA,NA,46,4,727,2,5,3,11,13,80,NA,NA,NA,1717,783,1,1,361,561,NA,NA,99,NA,NA,NA,7,19,NA,10,1,14,45,5,12,NA,NA,3,114,NA,28,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,41,14,NA,19,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,13,147,NA,55,2,NA,NA,NA,15,13,2,107,NA,NA,1,NA,NA,NA,NA,20,NA,NA,NA,NA,2001-07-14,"W"
"13",NA,3,2284,NA,38,651,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,1,25,13,23,12,2,1,NA,NA,NA,NA,275,2,NA,NA,12,1,2,NA,34,NA,NA,6,22,10,NA,6,2,13,1,23,2,NA,NA,NA,48,NA,11,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,4,9,NA,NA,NA,NA,36,NA,NA,NA,7,NA,5,NA,2,NA,9,NA,6,14,84,NA,13,4,2,2,15,53,NA,NA,125,NA,NA,NA,2,NA,NA,NA,NA,2002-01-26,"S"
"14",NA,NA,11123,NA,160,471,2,NA,35,NA,NA,NA,5,1,NA,NA,1,169,448,7,13,7,17,3,151,33,NA,NA,2869,615,NA,4,195,912,NA,3,139,NA,NA,1,4,8,NA,16,2,14,75,24,15,7,NA,7,140,NA,72,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,53,61,NA,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,7,74,NA,138,58,NA,NA,15,2,7,NA,425,2,NA,6,17,NA,NA,NA,NA,28,NA,NA,NA,2002-07-27,"W"
"15",9,NA,7472,NA,153,315,1,NA,59,NA,1,NA,NA,NA,NA,NA,4,12,126,72,27,5,1,5,27,6,1,NA,501,50,NA,NA,24,27,4,8,120,NA,NA,2,9,15,NA,14,1,6,6,7,3,4,NA,18,199,NA,15,NA,NA,NA,NA,1,NA,21,NA,NA,1,NA,1,30,7,NA,22,690,NA,28,NA,NA,NA,6,NA,2,NA,19,19,10,NA,13,46,118,NA,8,NA,3,2,19,136,NA,444,762,NA,NA,NA,NA,NA,NA,NA,NA,2003-01-18,"S"
"16",NA,NA,9184,NA,42,64,NA,NA,33,NA,NA,NA,NA,3,NA,NA,4,18,1700,NA,1,1,NA,4,80,261,NA,NA,2904,2350,1,20,92,118,NA,NA,9,NA,NA,1,2,13,NA,10,NA,NA,17,NA,6,NA,NA,6,67,NA,59,NA,6,NA,NA,1,NA,NA,NA,10,1,NA,NA,41,56,NA,94,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,20,51,3,13,24,NA,NA,NA,7,NA,1,137,20,NA,1,1,NA,NA,NA,NA,61,NA,NA,NA,2003-07-19,"W"
"17",1,NA,5237,NA,83,78,NA,NA,7,NA,6,NA,NA,NA,NA,1,NA,10,196,66,11,18,2,3,97,3,NA,1,826,4,NA,NA,19,15,7,6,93,NA,NA,2,3,13,NA,16,1,NA,6,NA,2,NA,NA,1,NA,NA,15,NA,2,NA,NA,NA,4,NA,2,1,29,202,NA,38,17,NA,84,NA,NA,2,NA,NA,2,4,NA,10,NA,5,15,11,NA,26,23,299,NA,7,9,11,12,15,66,NA,344,54,NA,NA,NA,NA,8,NA,1,NA,2004-01-24,"S"
"18",8,NA,2322,NA,50,169,NA,NA,18,NA,NA,NA,NA,4,NA,NA,NA,NA,519,NA,NA,NA,NA,2,66,NA,NA,NA,1693,1063,NA,NA,39,110,3,NA,20,NA,NA,1,NA,6,NA,2,NA,NA,2,NA,6,NA,NA,NA,129,NA,18,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,101,47,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,5,4,4,NA,NA,2,3,1,108,NA,NA,11,14,NA,NA,NA,NA,28,NA,NA,NA,2004-07-31,"W"
"19",NA,NA,2311,NA,51,75,NA,12,26,NA,NA,2,1,3,NA,NA,NA,7,22,517,10,3,4,2,6,NA,NA,NA,461,7,NA,NA,3,18,26,NA,32,NA,NA,2,15,19,NA,16,NA,3,NA,1,28,NA,NA,NA,321,NA,5,NA,8,NA,NA,NA,NA,6,NA,NA,1,NA,NA,50,12,NA,53,NA,NA,NA,NA,NA,5,NA,NA,9,NA,5,168,31,NA,31,14,169,NA,12,NA,2,NA,NA,113,NA,1,16,NA,NA,NA,NA,2,NA,NA,NA,2005-01-22,"S"
"20",8,NA,1047,NA,NA,286,NA,NA,26,NA,NA,NA,2,NA,NA,NA,NA,30,221,17,NA,NA,NA,4,442,326,NA,NA,2313,329,NA,NA,19,102,5,NA,17,NA,NA,NA,8,19,NA,2,NA,NA,NA,NA,9,NA,NA,NA,155,NA,11,NA,NA,NA,NA,2,NA,4,NA,NA,1,NA,NA,124,88,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,NA,1,56,4,NA,NA,NA,13,NA,92,NA,NA,6,8,NA,NA,NA,NA,23,NA,NA,NA,2005-07-23,"W"
"21",NA,NA,430,NA,9,116,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,438,2,NA,NA,NA,24,NA,NA,NA,723,12,NA,NA,NA,1,NA,NA,106,NA,NA,3,45,21,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,293,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,90,NA,NA,218,63,8,NA,NA,NA,NA,NA,NA,5,32,NA,NA,NA,2,64,18,NA,11,NA,351,NA,9,NA,4,NA,20,146,NA,9,NA,NA,NA,NA,NA,6,NA,NA,1,2006-01-21,"S"
