"Loc_code","Name","Province","Latitude","Longitude","counts","FirstCount","LatestCount","boundary_polygon"
"24392841","Nylsvley Nature Reserve","Limpopo","-24.6516","28.68506","47","1998-01-01","2021-01-16","28.66790780445923,-24.65534467261453,0 28.66512634742901,-24.65706350827865,0 28.67250159369344,-24.66452608729161,0 28.67394299008704,-24.66107658135593,0 28.67688573295467,-24.66296285487552,0 28.67963760666845,-24.66202919427879,0 28.68218935403194,-24.66312396245876,0 28.68530266422299,-24.66318582557573,0 28.68720160297052,-24.66162936681316,0 28.68933835807457,-24.66025824060175,0 28.68933716488944,-24.66013283521292,0 28.69203614583016,-24.65884941859067,0 28.69311658105989,-24.65614156875146,0 28.69238941540115,-24.65404129746872,0 28.69223449053867,-24.65252778931382,0 28.69607233644527,-24.64913512943537,0 28.69701243103487,-24.64763770954964,0 28.69820876114991,-24.6464642019588,0 28.71892425489778,-24.64226204631073,0 28.71562051284991,-24.6358022607127,0 28.71408016997985,-24.63228922966072,0 28.71295417785233,-24.6298384277604,0 28.71145075019918,-24.62658707868063,0 28.71089456540001,-24.62546778651931,0 28.70859030891717,-24.62115946577898,0 28.70722345880565,-24.61750171709435,0 28.706584412911,-24.6156917964924,0 28.70627338720519,-24.61278384889615,0 28.70525057899762,-24.60805155205226,0 28.69603127231719,-24.60889337322569,0 28.68960069236958,-24.60929930755322,0 28.68597341366657,-24.6136719946539,0 28.67989077708396,-24.6120931915137,0 28.67915872515329,-24.61346439703701,0 28.67800044602599,-24.6157130115685,0 28.67876122636775,-24.61769814272132,0 28.67873062534024,-24.62061573940425,0 28.67802950976699,-24.62461897118509,0 28.6831161239305,-24.6298444703408,0 28.68417610077062,-24.63221536665511,0 28.68837520359726,-24.63392424958364,0 28.69056007712679,-24.63632286701327,0 28.69326877794774,-24.6395105565087,0 28.69317164923277,-24.64216521171749,0 28.69396936357657,-24.64315929903201,0 28.69327928175936,-24.64529540547204,0 28.69263771515077,-24.64749337155132,0 28.69181052494183,-24.6482777131946,0 28.69023157004706,-24.64869519781229,0 28.68735399552658,-24.64831135615701,0 28.67773750759085,-24.65045808844668,0 28.67482069408979,-24.65058829067262,0 28.67353308588266,-24.64981598160412,0 28.67212221482236,-24.6492406648731,0 28.6701319798796,-24.64912823724151,0 28.6663759976399,-24.65075141281507,0 28.66790780445923,-24.65534467261453,0"
"24103100","Olifants River: North Shareblock","Limpopo","-24.16675","31.00202","2","2000-07-09","2001-02-26",NA
"24033119","Olifants River: Selati Rivers at Cleveland","Limpopo","-24.03904","31.17274","19","2004-04-27","2009-07-26",NA
"24013110","PMC Wetlands","Limpopo","-23.96","31.1719","42","2000-07-29","2019-07-27",NA
"23512927","Polokwane (Pietersburg) Bird Sanctuary","Limpopo","-23.85","29.45","29","1997-02-01","2020-02-04",NA
"23522930","Polokwane Nature Reserve: Retention Dams","Limpopo","-23.8667","29.5","15","2003-01-31","2010-02-11",NA
"23472924","Rondepan Farm Dams","Limpopo","-23.77367","29.40339","32","2001-01-21","2020-02-04",NA
"25132830","Rust de Winter Dam","Limpopo","-25.22791","28.48869","17","1995-01-14","2010-02-18",NA
"24013105","Selati Tailings Dam","Limpopo","-24.03035","31.0979","28","2005-07-30","2019-07-28",NA
"24362924","Sterkloop Wetlands","Limpopo","-23.9007","29.4109","32","2001-01-21","2020-02-04",NA
"23532946","Turfloop Dam","Limpopo","-23.88524","29.77344","20","2001-01-21","2011-07-21",NA
"24003105","Van Ruyssen Dam","Limpopo","-24.00414","31.09377","28","2005-07-30","2019-07-28",NA
